transaction_amount,merchant_category,transaction_hour,day_of_week,is_weekend,customer_age,account_age_days,previous_transactions_day,average_transaction_amount,credit_limit,amount_vs_average_ratio,time_since_last_transaction,location_risk_score,is_fraud
102.71,10,9,3,0,38,308,5,23.13,500.0,4.44,2.1,21.8,0
27.05,15,15,1,0,19,289,0,12.27,500.0,2.2,10.3,29.1,0
5.27,6,18,0,0,48,65,1,10.0,500.0,0.53,7.0,52.9,0
4.99,11,8,5,1,38,750,2,11.05,500.0,0.45,2.5,6.9,0
2.71,14,4,2,0,62,1012,1,10.0,500.0,0.27,17.3,18.2,0
11.54,17,3,3,0,24,321,3,10.0,500.0,1.15,11.2,9.4,0
3.17,12,9,6,1,39,1595,1,10.0,500.0,0.32,9.2,41.6,0
47.97,8,18,1,0,44,431,0,10.0,500.0,4.8,29.6,34.8,0
6.52,8,15,5,1,51,536,2,38.13,589.88,0.17,3.3,23.6,0
10.83,14,14,5,1,47,278,2,14.72,500.0,0.74,27.0,22.4,0
13.48,11,10,0,0,34,164,1,10.0,500.0,1.35,5.8,32.3,0
42.89,18,14,0,0,48,806,2,90.74,1248.2,0.47,12.2,3.2,0
14.02,5,12,2,0,47,145,0,20.84,500.0,0.67,8.0,4.3,0
2.72,5,3,2,0,42,324,2,22.66,500.0,0.12,30.1,30.0,0
12.27,11,0,1,0,43,225,1,41.11,632.13,0.3,2.2,38.3,0
11.81,17,6,5,1,38,264,3,15.25,500.0,0.77,0.9,24.9,0
1.63,3,0,2,0,26,289,1,10.0,500.0,0.16,4.0,21.2,0
39.1,4,7,3,0,22,214,2,72.84,979.12,0.54,2.7,19.0,0
14.39,15,11,1,0,18,335,4,48.7,951.23,0.3,0.4,3.4,0
208.5,6,7,5,1,42,282,4,10.0,500.0,20.85,2.8,39.6,0
6.58,10,19,3,0,66,733,4,28.51,500.0,0.23,14.4,11.6,0
1.0,7,4,3,0,53,254,4,13.15,500.0,0.08,8.8,23.4,0
19.71,14,8,2,0,54,325,2,10.0,500.0,1.97,24.0,25.5,0
5.53,13,16,1,0,46,146,2,17.09,500.0,0.32,20.8,22.0,0
7.44,16,5,2,0,65,235,1,10.0,500.0,0.74,12.3,3.2,0
24.12,11,15,2,0,54,183,2,17.19,500.0,1.4,21.3,20.1,0
