customer_id,tenure,age,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST_000001,11,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,32.72,484.69,1
CUST_000002,72,18,0,0,1,1,1,0,2,0,1,0,1,0,1,1,1,1,94.45,6810.06,0
CUST_000003,31,35,1,0,1,0,1,1,2,1,0,1,0,0,1,1,1,1,93.49,3048.79,0
CUST_000004,21,55,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,61.22,1190.85,1
CUST_000005,4,50,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,26.31,204.18,0
CUST_000006,4,48,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,81.9,75.75,0
CUST_000007,1,37,1,0,1,0,1,0,2,0,1,1,0,0,1,2,1,3,100.24,0.0,1
CUST_000008,48,22,0,0,1,1,1,0,2,0,0,0,1,0,1,0,1,3,88.32,4133.3,0
CUST_000009,22,49,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,3,61.04,1344.16,0
CUST_000010,29,29,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,69.76,1934.73,0
CUST_000011,1,74,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,65.4,0.0,1
CUST_000012,72,50,1,0,1,0,0,0,2,1,1,0,1,0,1,0,1,2,78.84,5658.45,0
CUST_000013,42,33,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,2,66.47,2779.13,0
CUST_000014,5,32,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,32.34,46.4,1
CUST_000015,4,40,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,66.05,129.9,0
CUST_000016,4,38,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,3,65.26,175.92,0
CUST_000017,8,58,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,53.78,530.43,0
CUST_000018,17,44,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,82.94,1673.73,1
CUST_000019,13,31,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,74.57,1115.31,0
CUST_000020,8,70,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,3,58.84,435.02,1
CUST_000021,22,42,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,26.21,618.18,0
CUST_000022,3,53,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,59.36,177.93,1
CUST_000023,8,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,32.08,242.38,0
CUST_000024,10,47,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,85.26,863.56,0
CUST_000025,14,46,1,0,0,1,1,0,2,1,0,1,0,0,1,0,0,2,92.01,1315.87,0
CUST_000026,36,18,0,0,0,1,1,0,1,1,1,0,1,0,1,2,0,0,80.1,2708.83,0
CUST_000027,5,72,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,39.29,134.53,0
CUST_000028,17,61,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,70.59,1195.77,0
CUST_000029,21,36,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,65.68,1617.69,0
CUST_000030,1,25,0,0,1,0,1,1,1,1,0,0,0,0,0,2,0,2,60.6,124.31,0
CUST_000031,22,47,0,0,0,1,1,1,2,0,0,1,0,1,1,1,0,3,96.16,2225.66,1
CUST_000032,4,43,1,0,1,0,1,1,2,1,1,0,0,0,0,2,1,0,85.39,330.55,0
CUST_000033,1,47,1,0,0,0,1,1,2,0,1,0,1,1,1,0,1,1,86.64,230.54,1
CUST_000034,71,44,0,0,1,0,1,1,1,1,0,1,0,0,0,2,1,0,66.02,4715.98,0
CUST_000035,72,49,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,3,60.2,4417.15,0
CUST_000036,39,63,1,0,1,0,0,0,2,0,1,1,1,1,0,1,0,3,87.87,3444.62,0
CUST_000037,8,50,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,25.87,262.16,0
CUST_000038,2,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,31.62,15.67,1
CUST_000039,27,62,1,0,0,0,1,1,2,0,1,0,0,0,1,2,0,3,89.0,2586.03,0
CUST_000040,13,66,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,71.29,878.56,0
CUST_000041,3,85,1,1,1,0,1,0,2,0,1,0,1,0,0,2,0,1,86.38,164.28,0
CUST_000042,16,25,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,75.9,1230.48,0
CUST_000043,1,45,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,2,59.04,246.36,0
CUST_000044,57,18,1,0,0,0,1,1,2,0,0,0,0,1,0,0,1,2,83.53,4692.83,1
CUST_000045,7,50,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,64.61,434.2,0
CUST_000046,26,33,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,82.6,2173.29,1
CUST_000047,8,70,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,34.22,141.32,0
CUST_000048,17,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,27.72,333.66,0
CUST_000049,18,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,472.52,0
CUST_000050,4,34,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,76.09,311.9,0
CUST_000051,72,18,1,0,0,0,1,0,2,0,0,1,0,0,1,2,1,0,90.58,6415.6,1
CUST_000052,35,53,0,0,0,0,1,0,2,0,1,0,0,0,1,1,1,3,82.42,2853.31,1
CUST_000053,67,18,1,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,88.92,5901.87,1
CUST_000054,54,42,0,0,0,0,1,0,2,0,1,0,1,1,1,0,0,3,101.91,5503.95,0
CUST_000055,21,18,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,61.37,1308.48,1
CUST_000056,61,37,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,2,65.2,3762.56,0
